EVD_level,SDD_level,Skew_level,PA1,OA1,PA2,OA2,PB1,OB1,PB2,OB2,EVA,EVB,EVD,SDA,SDB,SDD,SkewA,SkewB
20,25.0,A < -1.5 & B > 1.5,0.8,114,0.2,28,0.14,100,0.86,73,96.8,76.78,20.02,34.4,9.368649849364637,25.031,-1.5,2.075
20,35.0,A < -1.5 & B > 1.5,0.83,122,0.17,15,0.02,120,0.98,83,103.81,83.74,20.07,40.193,5.180000000000001,35.013,-1.757,6.857
20,45.0,A < -1.5 & B > 1.5,0.81,149,0.19,14,0.08,130,0.92,101,123.35,103.32,20.03,52.961,7.867502780425311,45.093,-1.58,3.096
20,25.0,both near 0,0.56,123,0.44,54,0.4,84,0.6,65,92.64,72.6,20.04,34.251,9.308061022576076,24.943,-0.242,0.408
20,35.0,both near 0,0.4,120,0.6,35,0.62,54,0.38,41,69.0,49.06,19.94,41.641,6.310023771746031,35.331,0.408,-0.494
20,45.0,both near 0,0.45,108,0.55,6,0.57,37,0.43,25,51.9,31.84,20.06,50.744,5.940909021353551,44.803,0.201,-0.283
20,,catch,0.45,46,0.55,23,0.41,26,0.59,3,33.35,12.43,20.92,11.442,11.312,0.13,0.201,0.366
20,,catch,0.68,101,0.32,77,0.64,81,0.36,57,93.32,72.36,20.96,11.195,11.52,-0.325,-0.772,-0.583
-20,,catch,0.61,76,0.39,53,0.65,96,0.35,73,67.03,87.95,-20.92,11.218,10.97,0.248,-0.451,-0.629
-20,,catch,0.41,35,0.59,11,0.45,55,0.55,31,20.84,41.8,-20.96,11.804,11.94,-0.136,0.366,0.201
